Time, humidity, pressure, temperature, counts of .3, counts of .5, counts of 1.0 counts of 2.5, counts of 10
2021-11-29 16:51:07.783244, 75.85178051070179, 1007.6333936343249, 12.962269744649529, 	678, 186,	26, 4, 	0
2021-11-29 16:51:38.458141, 75.74787448832862, 1007.6705080764614, 12.952110483893193, 	702, 194,	26, 4, 	0
2021-11-29 16:52:08.508075, 75.76830769406772, 1007.6817393585897, 12.875916065328056, 	702, 194,	26, 4, 	0
2021-11-29 16:52:38.557982, 75.90025352644189, 1007.6432089738686, 12.83527906886884, 	702, 194,	26, 4, 	0
2021-11-29 17:55:58.680775, 87.33190550468649, 1007.68803110675, 10.193914252758258, 		1230, 350,		54, 6, 		0
2021-11-29 17:56:04.901155, 87.3981700527269, 1007.6921650475612, 10.163437425676966, 		1146, 320,		48, 4, 		0
2021-11-29 17:56:10.927476, 87.57172230821963, 1007.6635067906582, 10.17867583790794, 		1146, 320,		48, 4, 		0
2021-11-29 17:58:53.938026, 88.277816929636, 1007.6963659876684, 10.066927542374469, 		1512, 394,		56, 14, 		0
2021-11-29 17:59:00.505184, 88.37199856737139, 1007.7168352236936, 10.046609685593285, 		1512, 394,		56, 14, 		0
2021-11-29 17:59:06.531044, 88.46380818719058, 1007.7250113924179, 10.051689149352024, 		1422, 376,		58, 10, 		0
2021-11-29 17:59:12.557024, 88.57171272180369, 1007.7597742202843, 10.0567686134018, 		1422, 376,		58, 10, 		0
2021-11-29 17:59:18.584680, 88.59618496774294, 1007.6677182538646, 10.08216593801626, 		1422, 376,		58, 10, 		0
2021-11-29 17:59:24.610530, 88.57773386690315, 1007.6554185005333, 10.107563269906677, 		1434, 380,		60, 10, 		0
2021-11-29 17:59:30.636477, 88.42568943298335, 1007.7106573905155, 10.092324869899311, 		1434, 380,		60, 10, 		0
2021-11-29 17:59:36.662462, 88.3911282959337, 1007.7249473526227, 10.117722204700112, 		1434, 380,		60, 10, 		0
2021-11-29 17:59:42.688404, 88.33863723865394, 1007.6411305973685, 10.08216593801626, 		1356, 362,		60, 10, 		0
2021-11-29 17:59:48.714593, 88.29810613013582, 1007.7535975606152, 10.102483802946518, 		1356, 362,		60, 10, 		0
2021-11-29 18:00:15.637093, 88.38876106096595, 1007.7126455574844, 10.14311954677687, 		1470, 390,		58, 8, 		0
2021-11-29 18:00:21.780226, 88.26295467932141, 1007.7003401423073, 10.168516896129585, 		1434, 386,		64, 8, 		0
2021-11-29 18:00:27.806183, 88.21942083075112, 1007.7187562212957, 10.163437425676966, 		1434, 386,		64, 8, 		0
2021-11-29 18:00:33.832136, 88.21285848464497, 1007.7289964232084, 10.153278485644842, 		1434, 386,		64, 8, 		0
2021-11-29 18:00:39.858264, 88.24505956408295, 1007.6758149507068, 10.153278485644842, 		1440, 386,		64, 10, 		0
2021-11-29 18:00:45.884306, 88.2480338124768, 1007.7228846853218, 10.132960609073052, 		1440, 386,		64, 10, 		0
2021-11-29 18:00:51.910221, 88.34223334468913, 1007.690182679314, 10.112642737157875, 		1440, 386,		64, 10, 		0
2021-11-29 18:00:57.936361, 88.45495944222813, 1007.7105809343262, 10.158357955515385, 		1416, 386,		68, 12, 		0
2021-11-29 18:01:03.962233, 88.40546034632082, 1007.7208209749031, 10.148199016065337, 		1416, 386,		68, 12, 		0
2021-11-29 18:01:09.988524, 88.38399428468215, 1007.7474115142104, 10.148199016065337, 		1416, 386,		68, 12, 		0
2021-11-29 18:02:51.254351, 86.66647527484365, 1007.6998419574222, 10.432649760716595, 		1242, 340,		42, 4, 		0
2021-11-29 18:12:51.557132, 84.69535223457375, 1007.8002939439127, 10.346298545325407, 		1284, 346,		46, 8, 		0
2021-11-29 18:22:51.677112, 89.2248021102861, 1007.7618837266882, 9.777398522855947, 		1284, 346,		46, 8, 		0
2021-11-29 18:32:51.797143, 88.01191343107759, 1007.6146578014166, 9.950099929474527, 		1284, 346,		46, 8, 		0
2021-11-29 18:42:51.917112, 90.20075557333638, 1007.4041104616964, 9.868828637391562, 		1350, 366,		54, 8, 		0
2021-11-29 18:52:52.037098, 87.30954220166163, 1007.4715831776574, 9.63009464778006, 		1350, 366,		54, 8, 		0
2021-11-29 19:02:52.157108, 89.49326882478977, 1007.4838740304809, 9.736762946663656, 		1350, 366,		54, 8, 		0
2021-11-29 19:12:52.241895, 87.47579737908545, 1007.7433513008552, 9.584379701834404, 		1398, 380,		54, 8, 		0
2021-11-29 19:22:52.361937, 87.82662604795922, 1008.0453844598144, 9.376123024174012, 		1398, 380,		54, 8, 		0
2021-11-29 19:32:52.482236, 89.20083183590091, 1008.1080763869176, 8.69040327477851, 		1398, 380,		54, 8, 		0
2021-11-29 19:42:52.602243, 89.5800113537831, 1008.1728664824118, 8.598974375618855, 		1290, 348,		48, 8, 		0
2021-11-29 19:52:52.722330, 91.27633618404495, 1007.8114414349653, 9.000246356520801, 		1290, 348,		48, 8, 		0
2021-11-29 20:02:52.791881, 91.27173524162438, 1007.6946264548568, 8.878340752515943, 		1290, 348,		48, 8, 		0
2021-11-29 20:12:52.911917, 89.23240280187338, 1007.6966082597572, 8.863102563802386, 		1308, 344,		48, 8, 		0
2021-11-29 20:22:53.031977, 90.31030163045584, 1007.6839209769558, 8.756435316149146, 		1308, 344,		48, 8, 		0
2021-11-29 20:32:53.152013, 90.96570466086585, 1007.6463099497377, 8.568498096853727, 		1308, 344,		48, 8, 		0
2021-11-29 20:42:53.272054, 93.37478205787504, 1007.4761423176049, 8.85802316814661, 		1314, 348,		46, 6, 		0
2021-11-29 20:52:53.392052, 91.0258054369074, 1007.3761945228459, 8.878340752515943, 		1314, 348,		46, 6, 		0
